id	filename	md5	size	state
00116581-2a5c-4095-8507-837260d4cc34	00116581-2a5c-4095-8507-837260d4cc34/TCGA-IQ-A61L-01A-21-A45L-20_RPPA_data.tsv	a45322f50ef715dc7f1f1632ba7d47f4	22092	validated
00883f1b-80f8-4370-9b7c-1a80a060fa4c	00883f1b-80f8-4370-9b7c-1a80a060fa4c/TCGA-CQ-5330-01A-21-2072-20_RPPA_data.tsv	6360103ad2cbfbd831cb1432360d0838	22142	validated
00febb16-201e-489b-81ad-c746cb12f3b2	00febb16-201e-489b-81ad-c746cb12f3b2/TCGA-CV-5431-01A-31-2072-20_RPPA_data.tsv	e954d1d52e1a6dad305db7e7e6474a55	22083	validated
0104fac5-c7d7-412e-bea9-154063a7fc5c	0104fac5-c7d7-412e-bea9-154063a7fc5c/TCGA-BA-A4IF-01A-21-A45L-20_RPPA_data.tsv	d3a6bb79a091a932fa3255bbfc524b52	22034	validated
01aa5ba9-0938-4dbc-b8ff-18abbafb6c96	01aa5ba9-0938-4dbc-b8ff-18abbafb6c96/TCGA-CV-7235-01A-13-2074-20_RPPA_data.tsv	da46900fe3a4107ed23253534307aaa3	22127	validated
01cde14a-30ca-4276-aad8-07327d9cf4ce	01cde14a-30ca-4276-aad8-07327d9cf4ce/TCGA-D6-6516-01A-13-2073-20_RPPA_data.tsv	d902b7a28370581303f7f7716586a567	22145	validated
01e9f52e-13bf-4158-8e9e-82340a635779	01e9f52e-13bf-4158-8e9e-82340a635779/TCGA-CV-7414-01A-13-2074-20_RPPA_data.tsv	8743b8bc802fad46029bc0cf180c2a2c	22178	validated
0200dcf1-9c14-4b2a-aee6-36307210d1a8	0200dcf1-9c14-4b2a-aee6-36307210d1a8/TCGA-CN-6994-01A-13-2073-20_RPPA_data.tsv	e3f789dba00e5422fc52d4f89a086035	22163	validated
0329d0d3-2b5b-4a4f-828d-2803ba5b9cff	0329d0d3-2b5b-4a4f-828d-2803ba5b9cff/TCGA-CV-7406-01A-13-2074-20_RPPA_data.tsv	b3ed99e0809a1dce6adee0f913321e96	22173	validated
034bfb0f-b66e-4dab-afc7-755a3071328a	034bfb0f-b66e-4dab-afc7-755a3071328a/TCGA-F7-8489-01A-21-A45L-20_RPPA_data.tsv	a443c45f600f207b7254c022c24f6452	22000	validated
03ca8caa-af24-46ff-9a00-e77f22c6eed1	03ca8caa-af24-46ff-9a00-e77f22c6eed1/TCGA-CV-7263-01A-13-2074-20_RPPA_data.tsv	c2a3de2a3403fbf78e9ff44feaa2a21c	22191	validated
03da1390-f6bf-48f6-9b27-1a81b61bf76a	03da1390-f6bf-48f6-9b27-1a81b61bf76a/TCGA-BA-5149-01A-21-2072-20_RPPA_data.tsv	1690e7f036cc38c5b3f99e7289e631be	22115	validated
03f83d04-c63b-4cb2-a6f1-b0472412afb8	03f83d04-c63b-4cb2-a6f1-b0472412afb8/TCGA-QK-A8Z9-01B-21-A45M-20_RPPA_data.tsv	ab2c4ed9cfda79852317b6a97814155d	22099	validated
0468c42d-f741-4712-90e1-8003ce201b5c	0468c42d-f741-4712-90e1-8003ce201b5c/TCGA-HD-A4C1-01A-21-A45L-20_RPPA_data.tsv	8d4baa6d70810edb098c81d8689a5252	21977	validated
05c630bf-4bf9-40bd-848c-d5c95bf96a90	05c630bf-4bf9-40bd-848c-d5c95bf96a90/TCGA-BA-A6DJ-01A-21-A45L-20_RPPA_data.tsv	1c4392ab15b14de189cbf33945b50f7e	22087	validated
077f1542-1489-4317-9fe9-4ff86c43b93e	077f1542-1489-4317-9fe9-4ff86c43b93e/TCGA-CV-7407-01A-13-2074-20_RPPA_data.tsv	ff098e83cee5a6bd3a4b680eb0d7ef64	22190	validated
08aee723-c616-491e-a845-5542e41d6f69	08aee723-c616-491e-a845-5542e41d6f69/TCGA-CQ-7068-01A-13-2073-20_RPPA_data.tsv	d1c9df720183c0b6724d7e6b9d5468a4	22139	validated
0914399b-067f-4f6e-aa10-1739567e0c1f	0914399b-067f-4f6e-aa10-1739567e0c1f/TCGA-CQ-A4CI-01A-21-A45L-20_RPPA_data.tsv	6f080256bf6c04372f37bd58a0eb3a63	22072	validated
0931a6d6-3bcf-4fc4-8c95-cd4784d4586d	0931a6d6-3bcf-4fc4-8c95-cd4784d4586d/TCGA-CN-6992-01A-13-2073-20_RPPA_data.tsv	f7057710ac8c8433ea8471ab769e1dc6	22166	validated
09706c40-c91a-41c0-b663-e5eb040f3e8a	09706c40-c91a-41c0-b663-e5eb040f3e8a/TCGA-CN-5374-01A-21-2072-20_RPPA_data.tsv	5b3ccc4ab8b0a28e416283d29de72003	22158	validated
0a1ea114-7329-4b57-8b90-3f13fb48d1ec	0a1ea114-7329-4b57-8b90-3f13fb48d1ec/TCGA-D6-6826-01A-13-2073-20_RPPA_data.tsv	210c0bf8a118b09ef29222122a9aadfa	22167	validated
0b8e790b-799e-4690-8389-631f9986df25	0b8e790b-799e-4690-8389-631f9986df25/TCGA-D6-6823-01A-13-2073-20_RPPA_data.tsv	372766d22e84860a99058a14910a86d0	22071	validated
0d36d07e-c660-482d-b57b-418fbed73d3e	0d36d07e-c660-482d-b57b-418fbed73d3e/TCGA-BB-A5HU-01A-21-A45L-20_RPPA_data.tsv	d8eb39d3248dc58e6781e6dbed1d35e7	22056	validated
