id	filename	md5	size	state
2b24be98-5bef-4a20-bb0a-9849e6227405	TCGA-77-A5G3-01A-21-A45E-20_RPPA_data.tsv	7a6c6d1aa0a6867c232868cfae3629eb	23959	released
c37d8197-9f30-4592-bb27-6744baa0271f	TCGA-34-5241-01A-21-2194-20_RPPA_data.tsv	58c55c06cb5d9f8ca43d8b2989fc9967	24090	released
0b1864aa-9fbc-4c9c-b5ed-45bd61bd8507	TCGA-98-A538-01A-21-A45D-20_RPPA_data.tsv	c0f6b0d2e082ac4944171ba25f74cff8	24002	released
e0d8288b-179a-4e8b-972d-c563d8c397ca	TCGA-22-A5C4-01A-21-A45E-20_RPPA_data.tsv	137c55a0583426d323b6b295688ef03f	24037	released
edba5890-7866-4a40-8832-b3b399797091	TCGA-34-2608-01A-11-2193-20_RPPA_data.tsv	39356ddd6677535d1496a065706a6042	24096	released
3d640c0b-4ef2-4e66-811c-25475db8bccb	TCGA-85-7843-01A-13-2195-20_RPPA_data.tsv	18acd4dcda84f2db82f430fd624b216e	24018	released
3d3ec970-3841-45ee-95fd-ef0c564eb020	TCGA-22-5482-01A-21-2194-20_RPPA_data.tsv	f01faa828474abc3eea7b1586894ed08	24108	released
96b165bc-69c1-4c23-9ea6-c6c1ab4d0610	TCGA-63-A5MG-01A-21-A45D-20_RPPA_data.tsv	cf997dca213afaf600c8bad8d803746a	23874	released
c62bb7e7-92d6-4e4d-9277-7ea356dc8e58	TCGA-O2-A52N-01A-21-A45D-20_RPPA_data.tsv	d4cecd88ef3b3ead13c75842109f1ba3	22041	released
ef125ac5-c5ef-4816-87ed-abf8680468cd	TCGA-63-7021-01A-13-2194-20_RPPA_data.tsv	beb1064de4714a9c53b84dbe6d37c383	24074	released
5846a9e7-ae62-4a9a-adea-d7b1b7218848	TCGA-96-A4JL-01A-21-A45E-20_RPPA_data.tsv	c12389f03eac287fae7bc481cc07dd0d	23951	released
0422968f-d2fa-4937-a05b-3113da1a4fb8	TCGA-85-7844-01A-13-2195-20_RPPA_data.tsv	f701442d53e9bbcf0f9bf6a27fa7ead9	24083	released
bdbfa2e8-ab26-4ebd-8dfb-cb9efac0f823	TCGA-37-A5EM-01A-11-A45E-20_RPPA_data.tsv	7a8ad84844563967c0c2d9c6049fbf61	23970	released
9e80cfac-c4fd-4ef4-a145-b8530190352f	TCGA-22-1011-01A-31-2193-20_RPPA_data.tsv	0e1d17ab5ba74e24e96d84d21ad6f813	24077	released
c8f5c98b-36eb-4b4f-bf6a-498c9d73247c	TCGA-21-1076-01A-41-2193-20_RPPA_data.tsv	3ac495de107644d053890a2b39af18c6	24103	released
06ce27bb-ea88-4947-8870-6511ae3c7b64	TCGA-37-4135-01A-21-2193-20_RPPA_data.tsv	d860b0fde9dfe095f778156d132609fa	24036	released
a03f09e4-ea91-4886-939d-d6d17d027c39	TCGA-94-A4VJ-01A-21-A45E-20_RPPA_data.tsv	a37c8c078397e93692d4f9af29ad1dc6	24004	released
796116b8-de0a-4a46-b869-678db7d5790c	TCGA-34-5234-01A-21-2194-20_RPPA_data.tsv	b22d6a02bc8edab32db290b085a2bd9a	24085	released
1a0b6efc-431d-4780-aa35-89b040aca5dc	TCGA-77-8153-01A-21-A45D-20_RPPA_data.tsv	1a511b705d70b8a036112399d6fab5d2	23984	released
d04e8c73-2fa5-48e8-aebb-045df202a1f1	TCGA-60-2720-01A-21-2193-20_RPPA_data.tsv	4870da216f253984c1679461e7963624	24098	released
8b7ede65-d430-4747-a65a-312262bea0c9	TCGA-56-7222-01A-13-2195-20_RPPA_data.tsv	04e611dcbab0a44cc7763320bf56f66a	24048	released
db28dffe-ff95-48c7-b487-ecafdf2ab30e	TCGA-22-5480-01A-21-2194-20_RPPA_data.tsv	e5b0f715ea419a3dee52e4c9c8dd437e	24121	released
0734e3fd-5a8c-4025-9a33-76c12b5b908a	TCGA-22-4609-01A-11-2193-20_RPPA_data.tsv	8c82ef6dc103fb3b0e93320857415179	10601	released
36948eed-555d-4d8e-9efe-a34f8ed2f6fd	TCGA-85-8287-01A-21-A45D-20_RPPA_data.tsv	804ed422584b68ec44db90587859d37f	23972	released
e3e02e75-214d-41b2-8509-05d7b74895a0	TCGA-NC-A5HP-01A-21-A45E-20_RPPA_data.tsv	726c04051f3facc82a90259390a7fad7	22128	released
4f53e401-74b0-45eb-8f22-534d8910d738	TCGA-34-8456-01A-11-A45D-20_RPPA_data.tsv	def51926dd944b77f06e6afc0c409bc2	23967	released
53623fe4-ca05-4ceb-bbeb-46f74c839cf8	TCGA-60-2716-01A-21-2193-20_RPPA_data.tsv	7bb579a984c5fe586d044f51151eef2c	24051	released
